i,v,r,t,Value
distpv,init-1,WA,2010,0.000229
distpv,init-1,WA,2015,0.074074
distpv,init-1,WA,2020,0.231023
distpv,init-1,WA,2024,0.800636
distpv,init-1,WA,2026,1.323038
distpv,init-1,WA,2028,1.826464
distpv,init-1,WA,2030,2.741868
distpv,init-1,OR,2010,0.007407
distpv,init-1,OR,2015,0.114744
distpv,init-1,OR,2020,0.227227
distpv,init-1,OR,2024,0.390053
distpv,init-1,OR,2026,0.536181
distpv,init-1,OR,2028,0.739305
distpv,init-1,OR,2030,1.030683
distpv,init-1,CA_N,2010,0.608341
distpv,init-1,CA_N,2015,2.989144
distpv,init-1,CA_N,2020,6.918913
distpv,init-1,CA_N,2024,8.668405
distpv,init-1,CA_N,2026,10.216244
distpv,init-1,CA_N,2028,12.007871
distpv,init-1,CA_N,2030,13.912936
distpv,init-1,CA_S,2010,1.096097
distpv,init-1,CA_S,2015,4.792095
distpv,init-1,CA_S,2020,10.761383
distpv,init-1,CA_S,2024,13.642991
distpv,init-1,CA_S,2026,15.803941
distpv,init-1,CA_S,2028,18.167379
distpv,init-1,CA_S,2030,20.579646
distpv,init-1,NV,2010,0.001647
distpv,init-1,NV,2015,0.310801
distpv,init-1,NV,2020,0.759796
distpv,init-1,NV,2024,1.087619
distpv,init-1,NV,2026,1.343142
distpv,init-1,NV,2028,1.640397
distpv,init-1,NV,2030,2.022766
distpv,init-1,ID,2015,0.005172
distpv,init-1,ID,2020,0.09081
distpv,init-1,ID,2024,0.347573
distpv,init-1,ID,2026,0.550793
distpv,init-1,ID,2028,0.791737
distpv,init-1,ID,2030,1.064319
distpv,init-1,MT,2015,0.003771
distpv,init-1,MT,2020,0.017033
distpv,init-1,MT,2024,0.036927
distpv,init-1,MT,2026,0.060592
distpv,init-1,MT,2028,0.107141
distpv,init-1,MT,2030,0.179306
distpv,init-1,WY,2015,0.001133
distpv,init-1,WY,2020,0.007286
distpv,init-1,WY,2024,0.02024
distpv,init-1,WY,2026,0.031251
distpv,init-1,WY,2028,0.045986
distpv,init-1,WY,2030,0.066874
distpv,init-1,UT,2015,0.144834
distpv,init-1,UT,2020,0.565739
distpv,init-1,UT,2024,0.825998
distpv,init-1,UT,2026,0.965931
distpv,init-1,UT,2028,1.140807
distpv,init-1,UT,2030,1.38731
distpv,init-1,AZ,2010,0.019345
distpv,init-1,AZ,2015,1.422665
distpv,init-1,AZ,2020,2.619157
distpv,init-1,AZ,2024,3.157379
distpv,init-1,AZ,2026,3.698675
distpv,init-1,AZ,2028,4.398527
distpv,init-1,AZ,2030,5.205048
distpv,init-1,NM,2010,0.001508
distpv,init-1,NM,2015,0.150188
distpv,init-1,NM,2020,0.370289
distpv,init-1,NM,2024,0.773178
distpv,init-1,NM,2026,1.109546
distpv,init-1,NM,2028,1.545601
distpv,init-1,NM,2030,1.899872
distpv,init-1,SD,2015,0.049763
distpv,init-1,SD,2020,0.093795
distpv,init-1,SD,2024,0.143558
distpv,init-1,SD,2026,0.1894
distpv,init-1,SD,2028,0.261632
distpv,init-1,SD,2030,0.375031
distpv,init-1,CO,2010,0.00566
distpv,init-1,CO,2015,0.572948
distpv,init-1,CO,2020,1.040363
distpv,init-1,CO,2024,1.54756
distpv,init-1,CO,2026,1.940234
distpv,init-1,CO,2028,2.434781
distpv,init-1,CO,2030,3.062827
distpv,init-1,ND,2015,0.046026
distpv,init-1,ND,2020,0.085915
distpv,init-1,ND,2024,0.12427
distpv,init-1,ND,2026,0.157743
distpv,init-1,ND,2028,0.205163
distpv,init-1,ND,2030,0.27741
distpv,init-1,NE,2015,0.050865
distpv,init-1,NE,2020,0.092791
distpv,init-1,NE,2024,0.125468
